subj_no,age,group,stim,trial,difficulty,resp,corr,conf,RT_day1,RT_day2
40,31,2,2,67,1,2,1,5,0.358833142,0.28968069
40,34,2,1,68,2,1,1,4,0.44547956,0.423319945
40,34,2,1,69,2,1,1,4,0.752304517,0.722939933
40,25,2,2,70,1,2,1,4,0.279529068,0.410740845
40,19,2,2,71,3,1,0,1,0.198602268,0.160691448
40,36,2,2,72,2,1,0,2,0.775648849,0.834743843
40,35,2,1,73,3,2,0,1,0.946213676,0.838144926
40,26,2,2,74,3,1,0,1,0.867932026,0.767352928
40,38,2,1,75,3,1,1,2,1.041115391,1.004384342
40,32,2,2,76,2,2,1,3,0.722905199,0.72635052
40,31,2,1,77,1,1,1,5,0.505947075,0.47379283
40,34,2,1,78,1,1,1,4,0.340930727,0.308547584
40,34,2,2,79,3,2,1,2,0.396191053,0.350383362
40,25,2,1,80,3,2,0,1,0.760424581,0.773007993
40,19,2,1,81,3,1,1,2,0.805953482,0.741170208
40,36,2,1,82,2,1,1,4,0.597825253,0.734010302
40,35,2,1,83,2,1,1,3,0.485139668,0.47226351
40,26,2,1,84,2,1,1,3,0.274957317,0.329744994
40,38,2,2,85,2,2,1,3,0.473055336,0.412617786
40,32,2,2,86,3,1,0,2,0.748481929,0.806035954
40,31,2,1,87,2,2,0,2,0.784164534,0.724940179
40,34,2,2,88,1,2,1,5,0.419158125,0.438484863
40,34,2,1,89,2,1,1,3,0.674589678,0.77107854
40,25,2,1,90,3,2,0,2,0.919356147,0.898052578
40,19,2,2,91,1,2,1,5,0.391092861,0.397071753
40,36,2,1,92,2,1,1,3,0.580465597,0.512182971
40,35,2,1,93,2,2,0,2,0.801616432,0.789750907
40,26,2,1,94,3,2,0,1,1.695618687,1.645170436
40,38,2,1,95,1,1,1,5,0.29740512,0.37797334
40,32,2,1,96,1,1,1,5,0.36508698,0.290179048
40,31,2,2,97,2,2,1,4,0.786242908,0.694993784
40,34,2,1,98,1,2,0,4,0.556486809,0.532808693
40,34,2,2,99,3,1,0,2,1.655855671,1.811782543
40,25,2,1,100,3,1,1,3,0.711129391,0.688695357
40,19,2,2,101,3,2,1,3,0.755864974,0.773077725
40,36,2,2,102,1,1,0,4,0.537366924,0.576357046
40,35,2,1,103,1,1,1,5,0.401925693,0.404454213
40,26,2,2,104,1,2,1,5,0.341159377,0.352077984
40,38,2,1,105,2,2,0,3,0.605364681,0.648400979
40,32,2,1,106,3,1,1,2,0.810860842,0.850953293
40,31,2,1,107,3,1,1,3,0.808348826,0.846585779
40,34,2,1,108,2,1,1,4,0.905655663,0.843620083
40,34,2,1,109,2,2,0,2,0.736954469,0.644753816
40,25,2,1,110,2,1,1,4,0.600127996,0.594636477
40,19,2,2,111,2,1,0,3,0.478174658,0.445964696
40,36,2,2,112,3,2,1,2,0.832480952,0.780575732
40,35,2,1,113,2,1,1,4,0.609467471,0.620669721
40,26,2,2,114,1,2,1,5,0.384799469,0.399478798
40,38,2,2,115,1,2,1,4,0.3106315,0.274906677
40,32,2,1,116,2,1,1,4,0.384477566,0.405165695
40,31,2,1,117,3,1,1,3,0.828052774,0.838870247
40,34,2,2,118,2,1,0,3,0.824236009,0.810692975
40,34,2,2,119,2,2,1,4,0.531844569,0.515576497
40,25,2,1,120,1,1,1,4,0.478137775,0.390730296
40,19,2,2,121,2,2,1,3,0.642256577,0.764125391
40,36,2,1,122,1,1,1,4,0.349654096,0.426969079
40,35,2,1,123,1,1,1,5,0.346361683,0.347969173
40,26,2,2,124,1,1,0,3,0.506743332,0.488685093
40,38,2,1,125,2,2,0,2,0.549871275,0.523612757
40,32,2,2,126,3,2,1,3,0.738708685,0.677811545
40,31,2,2,127,2,1,0,3,0.786968755,0.764143195
40,34,2,1,128,1,1,1,4,0.320447191,0.261906825
40,34,2,1,129,1,1,1,4,0.336216878,0.336576708
40,25,2,2,130,1,2,1,4,0.258879651,0.298308748
40,19,2,1,131,2,1,1,4,0.648514568,0.677253333
40,36,2,1,132,3,1,1,3,0.431696362,0.464894152
40,35,2,1,133,3,1,1,3,0.760441022,0.705832343
40,26,2,1,134,2,1,1,4,0.572681762,0.56121421
40,38,2,2,135,1,2,1,5,0.265630327,0.343500607
40,32,2,1,136,3,2,0,2,0.531924329,0.483930128
40,31,2,1,137,2,1,1,3,0.628548992,0.660319236
40,34,2,1,138,2,2,0,2,0.491347326,0.494353158
40,34,2,1,139,3,2,0,2,0.732322312,0.783253837
40,25,2,2,140,2,2,1,3,0.612588733,0.587563063
40,19,2,2,141,3,2,1,2,0.721060327,0.705494551
40,36,2,1,142,3,1,1,3,0.947264199,0.952055709
40,35,2,1,143,1,1,1,5,0.331176603,0.218917712
40,26,2,1,144,1,1,1,4,0.415891843,0.480606262
40,38,2,1,145,1,2,0,3,0.681631672,0.662208546
40,32,2,1,146,3,1,1,2,0.698281693,0.79022865
40,31,2,1,147,2,1,1,3,0.645071509,0.577280874
40,34,2,1,148,1,1,1,5,0.576544762,0.589140552
40,34,2,1,149,1,1,1,5,0.337612213,0.35095369
40,25,2,2,150,2,1,0,3,0.462882402,0.329536297
40,19,2,2,151,1,2,1,4,0.302729353,0.313376025
40,36,2,1,152,2,1,1,3,0.675721902,0.719433186
40,35,2,1,153,1,1,1,4,0.395083296,0.383010356
40,26,2,1,154,2,1,1,3,0.718705759,0.707025147
40,38,2,1,155,3,2,0,2,0.608243094,0.554828379
40,32,2,1,156,1,1,1,4,0.495515104,0.574906616
40,31,2,2,157,1,2,1,5,0.370846889,0.329303847
40,34,2,2,158,2,2,1,3,0.635399712,0.590691073
40,34,2,2,159,3,1,0,1,1.177393303,1.189405477
40,25,2,1,160,2,1,1,4,0.575124144,0.548258271
40,19,2,2,161,3,1,0,1,0.640322301,0.568176518
40,36,2,2,162,1,2,1,5,0.416948646,0.478565429
40,35,2,2,163,1,2,1,5,0.381297719,0.364352136
40,26,2,1,164,3,1,1,3,0.572371021,0.645967587
40,38,2,1,165,3,2,0,1,0.918566035,1.003823537
40,32,2,2,166,3,2,1,2,0.920251169,0.952465959
40,31,2,2,167,3,1,0,1,0.495900503,0.452098951
40,34,2,2,168,2,1,0,3,0.538422837,0.526692887
40,34,2,1,169,3,1,1,3,0.873544166,0.848333516
40,25,2,1,170,2,2,0,2,0.96793901,0.937041474
40,19,2,1,171,2,2,0,3,0.670216484,0.663671519
40,36,2,1,172,2,2,0,2,0.637814193,0.621245111
40,35,2,2,173,1,2,1,5,0.411686778,0.407931796
40,26,2,2,174,1,2,1,4,0.475498349,0.489342826
40,38,2,2,175,3,2,1,3,0.744871652,0.765634633
40,32,2,1,176,2,1,1,3,0.294620175,0.280960042
40,31,2,2,177,2,1,0,3,0.743195285,0.67941823
40,34,2,1,178,3,1,1,2,0.883757363,0.988416349
40,34,2,2,179,1,2,1,5,0.335583956,0.367879946
40,25,2,2,180,3,2,1,3,0.927660656,0.910884066
40,19,2,2,181,1,2,1,4,0.513266743,0.453012064
40,36,2,1,182,2,2,0,3,0.68049713,0.797826455
40,35,2,2,183,3,2,1,2,0.378684382,0.352119965
40,26,2,1,184,3,1,1,3,0.706281782,0.813151512
40,38,2,2,185,3,1,0,2,1.332301744,1.34479986
40,32,2,2,186,1,2,1,5,0.41897777,0.483052724
40,31,2,1,187,1,1,1,5,0.485589033,0.570495112
40,34,2,2,188,1,2,1,4,0.382156586,0.381371936
40,34,2,2,189,1,2,1,4,0.319589239,0.351191621
40,25,2,1,190,2,1,1,3,0.713457315,0.724543928
40,19,2,2,191,1,2,1,5,0.464121821,0.49776837
40,36,2,1,192,2,2,0,2,0.850638442,0.769550119
40,35,2,2,193,2,2,1,3,0.359030438,0.370232617
40,26,2,1,194,1,1,1,5,0.377495487,0.405135795
40,38,2,1,195,3,2,0,1,1.517891513,1.577481028
40,32,2,2,196,3,2,1,2,0.669538721,0.668069294
40,31,2,1,197,2,2,0,2,0.819308742,0.805016589
40,34,2,1,198,1,1,1,5,0.486093697,0.492487713
40,34,2,2,199,3,1,0,2,0.504485327,0.547093612
40,25,2,2,200,1,2,1,4,0.442651272,0.503671013
40,19,2,2,201,1,2,1,4,0.494372098,0.546332248
40,36,2,2,202,3,1,0,2,0.975253521,0.951194255
40,35,2,2,203,1,1,0,4,0.427944577,0.414638895
40,26,2,2,204,2,2,1,3,0.61133392,0.562773339
40,38,2,1,205,3,2,0,1,0.987004052,1.059216967
40,32,2,1,206,1,1,1,5,0.400476534,0.371559776
40,31,2,2,207,1,2,1,5,0.355762302,0.374350147
40,34,2,1,208,2,1,1,3,0.413479577,0.411994999
40,34,2,1,209,3,1,1,3,0.88809876,0.816985003
40,25,2,2,210,2,1,0,3,0.826513019,0.822903864
40,19,2,2,211,3,2,1,3,0.723716035,0.710400497
40,36,2,2,212,2,2,1,3,0.806632735,0.813537634
40,35,2,1,213,3,2,0,1,0.762578667,0.7103156
40,26,2,2,214,2,1,0,3,0.628512871,0.639356424
40,38,2,1,215,3,2,0,2,0.568202565,0.643928851
40,32,2,1,216,3,2,0,2,1.185102029,1.117012211
40,31,2,2,217,2,1,0,2,0.914234663,0.912147796
40,34,2,2,218,3,1,0,1,0.588376474,0.58530567
40,34,2,2,219,3,2,1,2,0.835585926,0.81615732
40,25,2,2,220,1,2,1,4,0.412313135,0.388095317
40,19,2,2,221,3,2,1,3,0.976326932,0.888841688
40,36,2,2,222,2,1,0,3,0.510957412,0.517980128
40,35,2,2,223,1,2,1,5,0.422745504,0.496536191
40,26,2,1,224,2,2,0,2,0.789637839,0.794450798
40,38,2,2,225,1,2,1,4,0.403403294,0.436706528
40,32,2,2,226,3,2,1,2,1.029423341,1.02732651
40,31,2,2,227,3,2,1,3,0.992473594,0.95935069
40,34,2,1,228,1,1,1,5,0.395724558,0.363625695
40,34,2,2,229,1,2,1,5,0.490498509,0.495556342
40,25,2,2,230,3,2,1,2,0.810032647,0.662014777
40,19,2,1,231,2,1,1,4,0.675600963,0.658122647
40,36,2,2,232,2,1,0,3,0.995686919,0.983748719
40,35,2,1,233,1,2,0,4,0.555372108,0.523967449
40,26,2,2,234,2,2,1,3,0.643874787,0.655465581
40,38,2,2,235,3,2,1,2,0.848539736,0.855660921
40,32,2,2,236,2,2,1,3,0.613400647,0.716737079
40,31,2,2,237,3,1,0,1,0.997218276,0.995449521
40,34,2,2,238,1,2,1,4,0.338751773,0.335175165
40,34,2,1,239,3,2,0,1,1.089145491,1.155855625
40,25,2,1,240,1,1,1,5,0.408540855,0.400592614
39,22,1,2,1,3,1,0,1,0.949740336,0.944563744
39,24,1,1,2,1,1,1,5,0.367449445,0.331160606
39,20,1,2,3,2,1,0,2,0.546207135,0.547346061
39,38,1,1,4,2,2,0,2,0.651185922,0.624448477
39,29,1,1,5,3,2,0,1,0.729529504,0.640921053
39,40,1,2,6,2,1,0,3,0.512539569,0.489223467
39,32,1,1,7,2,1,1,4,0.516047888,0.618626987
39,24,1,1,8,2,1,1,3,0.570925253,0.59478643
39,26,1,2,9,3,1,0,1,1.579594249,1.52828901
39,21,1,2,10,1,1,0,4,0.739093598,0.725948092
39,22,1,2,11,1,2,1,5,0.457538816,0.412211264
39,24,1,1,12,2,1,1,3,0.880946587,0.867181813
39,20,1,1,13,2,2,0,2,0.72766708,0.757927181
39,38,1,2,14,3,2,1,2,0.733614942,0.824046038
39,29,1,1,15,2,2,0,3,0.756772691,0.762768137
39,40,1,2,16,1,2,1,4,0.3856592,0.371673561
39,32,1,1,17,1,2,0,3,0.600971278,0.635217044
39,24,1,1,18,1,1,1,4,0.440726707,0.505522198
39,26,1,2,19,3,1,0,2,0.907842779,0.942150998
39,21,1,1,20,1,1,1,4,0.321204443,0.278463396
39,22,1,2,21,2,1,0,3,0.279841871,0.212607257
39,24,1,2,22,1,2,1,5,0.461869648,0.469376633
39,20,1,2,23,3,2,1,3,0.813947417,0.830846347
39,38,1,2,24,3,1,0,2,0.36079798,0.315766328
39,29,1,1,25,2,2,0,3,0.636011401,0.620020095
39,40,1,2,26,2,2,1,3,0.556237768,0.511050411
39,32,1,2,27,1,1,0,4,0.420881347,0.421588268
39,24,1,1,28,1,1,1,4,0.377688006,0.414322798
39,26,1,2,29,3,2,1,3,0.786939937,0.712001119
39,21,1,2,30,1,1,0,3,0.48369428,0.396489976
39,22,1,1,31,3,2,0,1,0.641916688,0.569914613
39,24,1,1,32,2,2,0,3,0.599976164,0.554540625
39,20,1,2,33,2,2,1,4,0.662336436,0.634390751
39,38,1,2,34,3,1,0,1,1.153887664,1.172934492
39,29,1,1,35,3,1,1,3,1.276666935,1.250357927
39,40,1,2,36,3,2,1,2,0.52575105,0.463154172
39,32,1,2,37,3,2,1,3,1.078934566,1.105217322
39,24,1,1,38,3,2,0,1,0.655801065,0.695378892
39,26,1,1,39,2,2,0,2,0.670320957,0.728086407
39,21,1,2,40,2,1,0,3,0.531586197,0.50889493
39,22,1,2,41,1,2,1,5,0.548147697,0.608033331
39,24,1,2,42,1,2,1,5,0.387697674,0.310508419
39,20,1,1,43,2,1,1,4,0.543657627,0.566920438
39,38,1,2,44,2,2,1,4,0.915183265,0.898971437
39,29,1,1,45,2,1,1,4,0.563368318,0.592176319
39,40,1,1,46,1,1,1,5,0.344996794,0.442692218
39,32,1,2,47,3,2,1,3,0.452484587,0.452848813
39,24,1,1,48,1,1,1,5,0.260023551,0.232954806
39,26,1,2,49,1,2,1,4,0.363280254,0.436463302
39,21,1,2,50,2,2,1,3,0.710431512,0.738101778
39,22,1,2,51,3,2,1,2,0.264759132,0.274123067
39,24,1,2,52,2,2,1,3,0.622771602,0.643680444
39,20,1,1,53,3,2,0,1,1.018059832,1.045458379
39,38,1,1,54,1,1,1,4,0.380589032,0.35350872
39,29,1,1,55,2,1,1,4,0.664849183,0.645249003
39,40,1,1,56,3,2,0,2,-0.084284669,-0.069039533
39,32,1,2,57,2,2,1,4,0.890410545,0.942088534
39,24,1,2,58,2,2,1,3,0.81502993,0.739491881
39,26,1,2,59,1,1,0,4,0.543048837,0.53910787
39,21,1,1,60,3,2,0,2,1.425045042,1.344659454
39,22,1,1,61,1,1,1,4,0.239943361,0.265852963
39,24,1,2,62,3,2,1,2,1.443217402,1.424459043
39,20,1,1,63,1,1,1,5,0.253594379,0.255529427
39,38,1,2,64,1,1,0,3,0.2678885,0.292620639
39,29,1,2,65,2,2,1,4,0.833056483,0.809909401
39,40,1,2,66,2,2,1,3,0.58320805,0.548150772
39,32,1,1,67,3,1,1,3,0.781960469,0.821862112
39,24,1,1,68,3,1,1,2,0.667792525,0.712836099
39,26,1,1,69,3,2,0,2,0.890563985,0.878019857
39,21,1,1,70,1,1,1,5,0.557684702,0.53913863
39,22,1,2,71,3,2,1,2,0.881710471,0.953128067
39,24,1,1,72,3,1,1,3,0.64778009,0.650827661
39,20,1,2,73,2,2,1,4,0.472401879,0.567249588
39,38,1,1,74,1,1,1,5,0.414185145,0.397350038
39,29,1,1,75,3,2,0,1,1.769083767,1.710564804
39,40,1,1,76,3,2,0,2,1.11100651,1.069357429
39,32,1,1,77,2,2,0,3,0.751588571,0.788857336
39,24,1,1,78,1,1,1,4,0.341452948,0.32752856
39,26,1,1,79,2,1,1,3,0.791129242,0.8531089
39,21,1,2,80,2,2,1,4,0.759549023,0.803464251
39,22,1,1,81,1,1,1,4,0.383701545,0.303909614
39,24,1,2,82,1,2,1,4,0.342120816,0.345498177
39,20,1,2,83,3,2,1,2,0.710750511,0.696275822
39,38,1,1,84,2,1,1,3,0.582129374,0.575276151
39,29,1,2,85,2,1,0,3,0.529493962,0.500879612
39,40,1,1,86,3,1,1,2,0.499353097,0.420730716
39,32,1,2,87,1,2,1,4,0.460376114,0.44787861
39,24,1,1,88,1,1,1,4,0.400071131,0.466931213
39,26,1,2,89,2,2,1,3,0.472516764,0.461069317
39,21,1,1,90,2,2,0,3,0.805307738,0.849913435
39,22,1,1,91,2,1,1,4,0.70909559,0.662413814
39,24,1,1,92,1,2,0,3,0.518447867,0.475621016
39,20,1,1,93,2,2,0,2,0.568091452,0.580241551
39,38,1,1,94,3,1,1,3,0.379764713,0.386257376
39,29,1,2,95,1,2,1,4,0.398315257,0.453135839
39,40,1,2,96,2,1,0,2,0.63319344,0.684500661
39,32,1,2,97,1,1,0,3,0.484992154,0.433295863
39,24,1,2,98,1,2,1,4,0.357782306,0.435271803
39,26,1,2,99,3,1,0,2,1.226988136,1.304205498
39,21,1,2,100,1,2,1,4,0.353752393,0.240799638
39,22,1,1,101,1,1,1,5,0.448756884,0.44186271
39,24,1,1,102,1,2,0,3,0.58050228,0.583687316
39,20,1,2,103,3,1,0,1,0.386220083,0.409573606
39,38,1,2,104,3,1,0,2,1.139938298,1.09695082
39,29,1,2,105,1,2,1,4,0.473016076,0.548296839
39,40,1,1,106,3,1,1,3,1.536081817,1.561024092
39,32,1,1,107,1,2,0,4,0.509670349,0.447361678
39,24,1,1,108,1,1,1,4,0.409945527,0.381466655
39,26,1,1,109,2,1,1,4,0.585227737,0.58737011
39,21,1,2,110,1,2,1,4,0.327458228,0.346861302
39,22,1,1,111,1,2,0,4,0.601810567,0.700313755
39,24,1,2,112,1,2,1,5,0.390428153,0.398041309
39,20,1,1,113,3,2,0,2,0.818021306,0.73641469
39,38,1,1,114,1,1,1,4,0.464639376,0.43639214
39,29,1,1,115,1,1,1,4,0.40378912,0.350302618
39,40,1,2,116,3,1,0,1,1.079023742,1.004735155
39,32,1,1,117,1,1,1,4,0.361092944,0.389225668
39,24,1,1,118,1,2,0,3,0.363242759,0.331172688
39,26,1,1,119,2,2,0,3,0.850851179,0.834040371
39,21,1,2,120,3,2,1,2,0.667672299,0.609692522
39,22,1,1,121,1,1,1,4,0.35056538,0.403236664
39,24,1,1,122,2,1,1,4,0.548997037,0.602758262
39,20,1,2,123,1,2,1,4,0.385501324,0.417887235
39,38,1,1,124,2,2,0,2,0.953554205,0.887950611
39,29,1,1,125,2,1,1,4,0.491229891,0.476847154
39,40,1,2,126,3,1,0,2,1.013354179,0.94164973
39,32,1,1,127,2,1,1,3,0.6248325,0.653089796
39,24,1,1,128,2,1,1,3,0.681769961,0.687956065
39,26,1,2,129,3,1,0,1,1.41341212,1.418460172
39,21,1,1,130,2,2,0,3,0.926944241,0.933345972
39,22,1,2,131,3,2,1,3,0.934951553,0.922279969
39,24,1,2,132,1,2,1,5,0.46373799,0.483066188
39,20,1,2,133,1,2,1,4,0.336019716,0.260756089
39,38,1,2,134,2,2,1,3,0.645967489,0.733922452
39,29,1,1,135,3,1,1,3,0.792639443,0.824488001
39,40,1,1,136,1,1,1,5,0.390300822,0.353578072
39,32,1,2,137,2,1,0,3,0.641909906,0.57848169
39,24,1,1,138,2,1,1,4,0.620310596,0.638254981
39,26,1,1,139,1,1,1,5,0.320711627,0.287807951
39,21,1,1,140,3,2,0,1,0.724063443,0.705058675
39,22,1,2,141,1,2,1,4,0.400247639,0.379657119
39,24,1,2,142,3,2,1,2,0.777689432,0.764439477
39,20,1,2,143,2,2,1,3,0.618530291,0.591454973
39,38,1,2,144,3,1,0,2,0.985855611,0.9539344
39,29,1,1,145,1,1,1,5,0.467476131,0.464728678
39,40,1,1,146,3,1,1,2,0.789212528,0.794584374
39,32,1,1,147,3,1,1,3,0.922865894,0.912540673
39,24,1,1,148,2,2,0,2,0.751449178,0.778173713
39,26,1,1,149,2,2,0,2,0.629796331,0.532381179
39,21,1,2,150,2,1,0,2,0.78933439,0.742823592
39,22,1,2,151,2,1,0,2,0.622957062,0.660935211
39,24,1,2,152,2,1,0,2,0.673380681,0.699470682
39,20,1,2,153,3,2,1,3,0.885280444,0.87155713
39,38,1,1,154,2,1,1,3,0.497694985,0.473652383
39,29,1,2,155,3,1,0,2,1.053020152,1.011864788
39,40,1,1,156,1,2,0,3,0.404484391,0.354947154
39,32,1,1,157,2,1,1,3,0.57417636,0.679588646
39,24,1,2,158,2,1,0,2,0.854769074,0.739460264
39,26,1,2,159,3,2,1,2,0.67550383,0.574636314
39,21,1,1,160,3,2,0,2,0.642695621,0.585062204
39,22,1,1,161,3,2,0,1,0.914179438,0.903530647
39,24,1,1,162,1,2,0,4,0.38240055,0.396094397
39,20,1,2,163,3,2,1,3,0.696223831,0.691383124
39,38,1,2,164,3,2,1,2,0.871658858,0.841856505
39,29,1,1,165,1,1,1,4,0.543252173,0.567706727
39,40,1,1,166,3,2,0,2,1.077457673,1.035372396
39,32,1,2,167,1,2,1,5,0.470665329,0.409814673
39,24,1,1,168,2,2,0,2,0.737443707,0.716052465
39,26,1,1,169,2,1,1,3,0.361277192,0.364679371
39,21,1,1,170,3,1,1,3,0.624217326,0.642074668
39,22,1,2,171,2,1,0,3,0.711596522,0.735219326
39,24,1,2,172,1,2,1,5,0.490304491,0.463794998
39,20,1,2,173,2,2,1,4,0.58235592,0.561888016
39,38,1,2,174,2,1,0,3,0.507842517,0.52767687
39,29,1,1,175,1,1,1,4,0.425250853,0.365679538
39,40,1,1,176,1,2,0,4,0.577304597,0.484942794
39,32,1,2,177,3,2,1,3,1.211272583,1.193740816
39,24,1,1,178,1,1,1,4,0.356650655,0.33280834
39,26,1,1,179,2,1,1,3,0.471686128,0.558689504
39,21,1,1,180,3,1,1,3,0.891583716,0.909188146
39,22,1,1,181,2,1,1,3,0.624078913,0.621376165
39,24,1,2,182,1,1,0,4,0.556306006,0.59932713
39,20,1,2,183,2,2,1,3,0.721998797,0.725415939
39,38,1,2,184,1,2,1,5,0.399556542,0.382554675
39,29,1,2,185,3,2,1,3,1.125755827,1.200586596
39,40,1,1,186,2,2,0,2,0.7817533,0.793391481
39,32,1,1,187,1,1,1,5,0.378151182,0.399934852
39,24,1,1,188,1,1,1,5,0.42060697,0.515706891
39,26,1,1,189,1,1,1,4,0.373987792,0.384884583
39,21,1,1,190,3,2,0,2,0.132389775,0.107396846
39,22,1,2,191,2,2,1,4,0.700314052,0.75423858
39,24,1,2,192,3,2,1,2,0.800412576,0.74744045
39,20,1,1,193,1,1,1,4,0.288164069,0.284858864
39,38,1,1,194,3,2,0,2,1.168239669,1.257384577
39,29,1,2,195,3,2,1,2,0.817649147,0.732224797
39,40,1,2,196,2,2,1,3,0.868945309,0.871652971
39,32,1,1,197,3,1,1,3,0.910616697,0.908289363
39,24,1,2,198,1,1,0,3,0.42167154,0.430087674
39,26,1,2,199,1,2,1,4,0.248451534,0.220635687
39,21,1,2,200,3,1,0,2,0.733329836,0.711683452
39,22,1,1,201,1,1,1,5,0.532489523,0.510548674
39,24,1,2,202,1,2,1,4,0.175462837,0.133188447
39,20,1,2,203,2,1,0,2,0.733596335,0.781151066
39,38,1,2,204,1,2,1,5,0.48907413,0.529065205
39,29,1,2,205,3,1,0,2,1.475632893,1.458019668
39,40,1,2,206,2,1,0,3,0.793586577,0.888908868
39,32,1,1,207,3,1,1,2,0.97360531,0.89637562
39,24,1,2,208,2,1,0,2,0.579405763,0.584472241
39,26,1,2,209,2,1,0,3,0.881816677,1.025560514
39,21,1,2,210,1,2,1,4,0.460377565,0.481874766
39,22,1,1,211,2,2,0,2,0.882399293,0.857049067
39,24,1,1,212,3,2,0,2,0.413573272,0.449172579
39,20,1,1,213,2,1,1,3,0.535614414,0.536461629
39,38,1,2,214,3,2,1,2,0.682193957,0.587447766
39,29,1,2,215,3,2,1,3,0.811136576,0.735391512
39,40,1,1,216,3,1,1,3,0.949572287,0.989378518
39,32,1,2,217,3,2,1,3,0.839127721,0.87412412
39,24,1,1,218,1,1,1,5,0.505720685,0.499472617
39,26,1,1,219,1,2,0,4,0.540666511,0.487293591
39,21,1,1,220,2,2,0,2,0.876601998,0.768376042
39,22,1,1,221,1,2,0,4,0.487529647,0.491655585
39,24,1,2,222,1,2,1,5,0.377551942,0.465530363
39,20,1,2,223,3,2,1,2,1.310162516,1.352722093
