"","subj_no","age","day","stim","trial","difficulty","resp","corr","conf","RT"
"143",10,38,1,1,143,2,2,0,3,0.675680719374842
"144",10,25,1,2,144,1,2,1,5,0.446713702081305
"145",10,20,1,1,145,2,1,1,3,0.759247299816847
"146",10,40,1,1,146,2,2,0,2,0.910926790043365
"147",10,23,1,1,147,3,1,1,3,0.407681540262191
"148",10,20,1,2,148,3,2,1,2,0.510287537430188
"149",10,40,1,1,149,3,1,1,2,1.09781942249003
"150",10,23,1,2,150,3,2,1,2,0.552914086122541
"151",10,23,1,2,151,3,1,0,1,1.01542119289405
"152",10,36,1,1,152,3,1,1,2,0.666994748408376
"153",10,38,1,2,153,1,2,1,5,0.457113178199557
"154",10,25,1,2,154,3,1,0,2,1.03947212380859
"155",10,20,1,1,155,3,2,0,1,0.92757502554708
"156",10,40,1,2,156,3,1,0,2,1.87401849855066
"157",10,23,1,2,157,1,2,1,5,0.477071084146645
"158",10,20,1,1,158,3,1,1,2,0.914170397115113
"159",10,40,1,1,159,3,1,1,2,1.18868301233632
"160",10,23,1,2,160,1,1,0,4,0.557932424708794
"161",10,23,1,2,161,3,1,0,2,0.937677160473614
"162",10,36,1,2,162,1,2,1,5,0.429393745151196
"163",10,38,1,1,163,2,1,1,4,0.526725480095653
"164",10,25,1,1,164,1,1,1,4,0.434591809550306
"165",10,20,1,2,165,3,2,1,2,0.684042290792983
"166",10,40,1,2,166,1,2,1,5,0.339181170728668
"167",10,23,1,1,167,1,2,0,4,0.535676456740113
"168",10,20,1,1,168,1,1,1,5,0.376046054876379
"169",10,40,1,2,169,2,2,1,3,0.806902566471629
"170",10,23,1,2,170,3,1,0,2,0.855112919567227
"171",10,23,1,1,171,3,1,1,3,0.741193841290214
"172",10,36,1,1,172,2,2,0,3,0.964202138934949
"173",10,38,1,2,173,1,2,1,4,0.469057604913454
"174",10,25,1,2,174,2,1,0,3,0.879890963375822
"175",10,20,1,2,175,2,2,1,4,0.728949610586162
"176",10,40,1,2,176,3,2,1,2,0.620190847530879
"177",10,23,1,2,177,2,1,0,2,0.639304680060488
"178",10,20,1,1,178,1,2,0,3,0.467570269383394
"179",10,40,1,1,179,1,1,1,5,0.426299497946765
"180",10,23,1,2,180,1,2,1,5,0.330614179094453
"181",10,23,1,1,181,3,1,1,3,0.83658215282336
"182",10,36,1,2,182,3,2,1,3,0.922727832348167
"183",10,38,1,2,183,2,1,0,2,0.566726215573437
"184",10,25,1,1,184,1,2,0,4,0.566248843625115
"185",10,20,1,2,185,3,1,0,1,0.941515787522662
"186",10,40,1,1,186,2,2,0,2,0.832893224991899
"187",10,23,1,1,187,2,1,1,4,0.667254257763472
"188",10,20,1,2,188,1,2,1,4,0.301439309586135
"189",10,40,1,2,189,3,2,1,3,0.848160817230081
"190",10,23,1,1,190,2,1,1,4,0.496157219158736
"191",10,23,1,1,191,2,1,1,3,0.586845406160137
"192",10,36,1,2,192,3,1,0,2,1.42471140496307
"193",10,38,1,1,193,2,1,1,3,0.535854853374363
"194",10,25,1,2,194,1,2,1,4,0.459649595221168
"195",10,20,1,1,195,3,1,1,2,0.774746042101871
"196",10,40,1,2,196,3,1,0,2,1.28726758227933
"197",10,23,1,2,197,3,2,1,3,0.904819528778006
"198",10,20,1,1,198,2,2,0,2,0.816467389082345
"199",10,40,1,2,199,1,2,1,5,0.445509205555596
"200",10,23,1,1,200,3,1,1,2,0.983236590934209
"201",10,23,1,2,201,1,2,1,4,0.254005036220431
"202",10,36,1,2,202,1,2,1,4,0.273323352154941
"203",10,38,1,2,203,3,2,1,3,0.949226948678084
"204",10,25,1,1,204,3,2,0,2,1.39494000851202
"205",10,20,1,2,205,2,1,0,3,0.858222033590337
"206",10,40,1,2,206,2,1,0,3,0.703372376116182
"207",10,23,1,2,207,2,1,0,2,0.54769291634373
"208",10,20,1,1,208,3,1,1,2,0.570355656967762
"209",10,40,1,2,209,2,2,1,3,0.706353489623875
"210",10,23,1,2,210,3,1,0,2,0.981922533638404
"211",10,23,1,2,211,2,1,0,2,0.671686434269943
"212",10,36,1,2,212,2,1,0,2,0.699719880363334
"213",10,38,1,2,213,2,2,1,4,0.574769627411864
"214",10,25,1,1,214,3,2,0,1,0.97306355595806
"215",10,20,1,2,215,3,2,1,3,0.91020537231494
"216",10,40,1,2,216,1,2,1,5,0.429907942066246
"217",10,23,1,1,217,3,1,1,2,0.723650069397173
"218",10,20,1,1,218,3,1,1,3,0.802430814824303
"219",10,40,1,1,219,2,1,1,4,0.523903635374852
"220",10,23,1,2,220,2,2,1,3,0.467086912324669
"221",10,23,1,1,221,1,1,1,5,0.387664873471317
"222",10,36,1,2,222,1,2,1,5,0.503718536533976
"223",10,38,1,2,223,2,2,1,3,0.570387071302855
"224",10,25,1,1,224,1,1,1,5,0.473269780455384
"225",10,20,1,1,225,3,1,1,3,0.69918013878324
"226",10,40,1,1,226,1,1,1,5,0.416538342112573
"227",10,23,1,2,227,2,2,1,3,0.417188384801378
"228",10,20,1,1,228,2,1,1,3,0.529460662662655
"229",10,40,1,1,229,3,2,0,2,0.993038526826201
"230",10,23,1,2,230,1,2,1,5,0.232439803409586
"231",10,23,1,1,231,1,1,1,5,0.457681401647672
"232",10,36,1,2,232,3,1,0,2,0.362783386171308
"233",10,38,1,2,233,3,1,0,2,0.737894768201262
"234",10,25,1,1,234,1,1,1,4,0.420214983243723
"235",10,20,1,1,235,2,2,0,2,0.613570557821651
"236",10,40,1,1,236,3,2,0,1,1.36973695243014
"237",10,23,1,2,237,2,2,1,4,0.524990174239759
"238",10,20,1,1,238,3,1,1,3,0.829970837347903
"239",10,40,1,1,239,2,1,1,4,0.610758377581147
"240",10,23,1,1,240,1,1,1,5,0.436070959495963
"241",9,34,1,2,1,1,2,1,4,0.40921431300055
"242",9,26,1,1,2,1,1,1,5,0.389465282410816
"243",9,37,1,2,3,3,1,0,2,1.56539074808952
"244",9,33,1,1,4,2,1,1,3,0.664727700581641
"245",9,38,1,2,5,2,2,1,3,0.646166908494568
"246",9,35,1,1,6,2,2,0,2,0.780621600485562
"247",9,35,1,2,7,2,2,1,4,0.48360374327249
"248",9,31,1,2,8,1,2,1,5,0.380001855458798
"249",9,28,1,2,9,2,1,0,2,0.817424787137749
"250",9,31,1,1,10,3,2,0,1,0.885659799684401
"251",9,34,1,2,11,3,1,0,1,0.785089258307602
"252",9,26,1,2,12,3,2,1,2,1.07131540478459
"253",9,37,1,1,13,3,1,1,3,0.789743931223324
"254",9,33,1,2,14,2,1,0,2,0.917101322596957
"255",9,38,1,2,15,2,1,0,3,0.47348688955752
"256",9,35,1,2,16,2,1,0,3,0.531913106066788
"257",9,35,1,1,17,2,2,0,2,0.634259939702093
"258",9,31,1,1,18,1,1,1,4,0.320762019954493
"259",9,28,1,2,19,2,2,1,4,0.348192445209188
"260",9,31,1,2,20,2,2,1,3,0.661755191973678
"261",9,34,1,2,21,1,2,1,4,0.442539159292726
"262",9,26,1,2,22,3,1,0,2,0.864367458569315
"263",9,37,1,2,23,2,1,0,3,0.45508614326555
"264",9,33,1,2,24,1,1,0,3,0.550773240007784
"265",9,38,1,2,25,3,2,1,3,0.764489384801263
"266",9,35,1,2,26,1,2,1,4,0.423228894775366
"267",9,35,1,2,27,3,1,0,2,0.747788843845573
"268",9,31,1,1,28,1,2,0,3,0.443159703237753
"269",9,28,1,1,29,3,1,1,3,0.822373554837206
"270",9,31,1,2,30,3,2,1,2,0.58070863075167
"271",9,34,1,1,31,1,2,0,3,0.648357674706184
"272",9,26,1,1,32,3,2,0,2,0.364302598853308
"273",9,37,1,1,33,1,1,1,4,0.315172560953205
"274",9,33,1,2,34,2,1,0,2,0.605399868185362
"275",9,38,1,2,35,1,1,0,4,0.65769736828452
"276",9,35,1,2,36,2,1,0,3,0.793430299019759
"277",9,35,1,1,37,2,1,1,4,0.680131686732947
"278",9,31,1,1,38,3,1,1,3,1.00679174794606
"279",9,28,1,1,39,3,2,0,2,1.52565198339951
"280",9,31,1,1,40,1,1,1,5,0.424528740800203
"281",9,34,1,2,41,1,2,1,5,0.409240817580505
"282",9,26,1,2,42,1,2,1,4,0.434237515372834
"283",9,37,1,1,43,2,1,1,4,0.558496420182479
"284",9,33,1,1,44,1,1,1,4,0.424367804842972
"285",9,38,1,1,45,2,1,1,3,0.595207311976853
"286",9,35,1,2,46,3,1,0,1,1.12367625783622
"287",9,35,1,1,47,2,1,1,4,0.504135379090654
"288",9,31,1,1,48,2,1,1,3,0.722687760825814
"289",9,28,1,1,49,2,1,1,4,0.605950215294634
"290",9,31,1,1,50,2,1,1,4,0.672192475417841
"291",9,34,1,2,51,1,2,1,5,0.457080809929412
"292",9,26,1,1,52,3,1,1,2,0.878425939575066
"293",9,37,1,2,53,1,1,0,4,0.562620200248107
"294",9,33,1,2,54,1,2,1,4,0.461929868145489
"295",9,38,1,2,55,2,2,1,3,0.714296605817244
"296",9,35,1,1,56,1,1,1,5,0.480769475077991
"297",9,35,1,2,57,1,2,1,5,0.454920384896033
"298",9,31,1,2,58,3,1,0,2,0.680329505875203
"299",9,28,1,2,59,2,1,0,2,0.474502573971494
"300",9,31,1,2,60,1,2,1,5,0.384985939862256
"301",9,34,1,1,61,2,1,1,4,0.847481509877825
"302",9,26,1,1,62,1,1,1,4,0.479818008661691
"303",9,37,1,2,63,2,2,1,4,0.44795260227435
"304",9,33,1,2,64,1,2,1,4,0.412280212281196
"305",9,38,1,2,65,2,1,0,2,0.63343061852344
"306",9,35,1,1,66,1,1,1,5,0.283963578607964
"307",9,35,1,1,67,1,1,1,4,0.492754129422205
"308",9,31,1,1,68,1,1,1,4,0.536409147769662
"309",9,28,1,1,69,1,2,0,4,0.585989380525384
"310",9,31,1,2,70,3,2,1,3,0.650788619628215
"311",9,34,1,2,71,2,2,1,3,0.787352365375945
"312",9,26,1,1,72,3,1,1,3,0.975155950136123
"313",9,37,1,1,73,3,1,1,2,0.608708179064822
"314",9,33,1,1,74,3,2,0,2,0.94515695316692
"315",9,38,1,1,75,1,1,1,5,0.372600273372629
"316",9,35,1,2,76,3,1,0,1,0.734815334774344
"317",9,35,1,1,77,2,2,0,2,0.689972032267292
"318",9,31,1,1,78,1,2,0,4,0.358893579879812
"319",9,28,1,2,79,1,2,1,5,0.384573029653662
"320",9,31,1,1,80,2,1,1,3,0.647117519254539
"321",9,34,1,1,81,1,2,0,3,0.477742285607759
"322",9,26,1,1,82,3,1,1,2,0.753273943541372
"323",9,37,1,2,83,2,2,1,3,0.706905485470421
"324",9,33,1,2,84,1,2,1,5,0.36485741521864
"325",9,38,1,1,85,3,1,1,3,0.635858635884041
"326",9,35,1,2,86,2,2,1,4,0.761429828565165
"327",9,35,1,1,87,2,2,0,3,0.921054068714529
"328",9,31,1,2,88,3,1,0,1,1.10139356068382
"329",9,28,1,2,89,1,2,1,4,0.289822031282893
"330",9,31,1,2,90,1,2,1,4,0.466107064746587
"331",9,34,1,2,91,2,2,1,4,0.371859038386296
"332",9,26,1,1,92,1,1,1,5,0.376537946645845
"333",9,37,1,2,93,3,1,0,2,1.05002795054019
"334",9,33,1,1,94,2,1,1,3,0.68007610829393
"335",9,38,1,2,95,3,1,0,1,0.615819290565858
"336",9,35,1,1,96,1,2,0,3,0.577031455547167
"337",9,35,1,1,97,2,1,1,4,0.453782982342313
"338",9,31,1,2,98,1,2,1,5,0.341483018337294
"339",9,28,1,2,99,3,1,0,1,1.38830866367751
"340",9,31,1,2,100,3,2,1,2,1.00671690309627
"341",9,34,1,2,101,1,2,1,5,0.370457848930047
"342",9,26,1,1,102,3,2,0,2,1.27697075157028
"343",9,37,1,1,103,2,2,0,2,0.590395298054482
"344",9,33,1,2,104,1,2,1,5,0.449911278543516
"345",9,38,1,2,105,3,1,0,2,0.864499371301029
"346",9,35,1,1,106,3,1,1,3,1.27787582251944
"347",9,35,1,1,107,3,1,1,3,0.720126288473341
"348",9,31,1,2,108,1,1,0,3,0.560125056458413
"349",9,28,1,1,109,3,1,1,3,0.916331553617964
"350",9,31,1,1,110,1,2,0,4,0.575354355594258
"351",9,34,1,2,111,2,2,1,4,0.733303957619012
"352",9,26,1,1,112,1,1,1,5,0.310007663390504
"353",9,37,1,2,113,3,2,1,2,0.871566588485151
"354",9,33,1,1,114,3,2,0,1,0.861620953019539
"355",9,38,1,1,115,3,1,1,3,0.7784369772482
"356",9,35,1,2,116,3,2,1,2,0.594099073087862
"357",9,35,1,1,117,3,2,0,2,1.4546984647819
"358",9,31,1,2,118,3,2,1,3,0.814488841511893
"359",9,28,1,2,119,3,1,0,2,0.705681954789075
"360",9,31,1,1,120,1,1,1,4,0.431708567577186
"361",9,34,1,2,121,1,1,0,4,0.649997395744501
"362",9,26,1,2,122,3,2,1,3,0.701580612161511
"363",9,37,1,2,123,1,1,0,4,0.613497562469934
"364",9,33,1,1,124,3,1,1,3,0.600689210572479
"365",9,38,1,1,125,3,2,0,1,0.755129265052797
"366",9,35,1,2,126,3,2,1,3,0.546301647699585
"367",9,35,1,1,127,2,2,0,2,0.619643530675943
"368",9,31,1,1,128,2,1,1,3,0.598374363071816
"369",9,28,1,2,129,2,2,1,3,0.551647120093657
"370",9,31,1,1,130,3,1,1,2,0.87947430558278
"371",9,34,1,1,131,2,1,1,4,0.570299669226794
"372",9,26,1,1,132,1,1,1,5,0.562769790750784
"373",9,37,1,2,133,1,2,1,4,0.297375757208761
"374",9,33,1,1,134,1,1,1,4,0.337029934723431
"375",9,38,1,2,135,2,2,1,3,0.742699154711364
"376",9,35,1,2,136,2,2,1,4,0.536127826584313
"377",9,35,1,1,137,1,1,1,4,0.407054565433327
"378",9,31,1,2,138,1,2,1,4,0.463933776893161
"379",9,28,1,2,139,3,2,1,2,1.0156241970873
"380",9,31,1,1,140,3,1,1,3,0.573377037322188
"381",9,34,1,1,141,1,1,1,5,0.337519253927322
"382",9,26,1,1,142,3,2,0,1,1.25914782425969
"383",9,37,1,2,143,2,1,0,2,0.630585005465354
"384",9,33,1,1,144,2,1,1,4,0.768202165553973
"385",9,38,1,2,145,3,2,1,3,0.916718825089287
"386",9,35,1,2,146,2,2,1,3,0.86474229299876
"387",9,35,1,2,147,1,2,1,4,0.448211098326213
"388",9,31,1,2,148,1,2,1,4,0.383804475655562
"389",9,28,1,1,149,1,1,1,4,0.51124318504053
"390",9,31,1,1,150,1,1,1,4,0.462600924143273
"391",9,34,1,1,151,2,1,1,3,0.482289505477094
"392",9,26,1,2,152,2,2,1,3,0.561175332943329
"393",9,37,1,1,153,2,1,1,3,0.549699935588465
"394",9,33,1,1,154,1,1,1,5,0.31672162277429
"395",9,38,1,1,155,1,2,0,4,0.439249413356576
"396",9,35,1,2,156,1,2,1,4,0.436125133812053
"397",9,35,1,2,157,3,1,0,2,0.999791623542008
"398",9,31,1,2,158,2,1,0,3,0.517903708259344
"399",9,28,1,2,159,1,2,1,5,0.48148145455384
"400",9,31,1,2,160,1,2,1,5,0.501460833837673
"401",9,34,1,1,161,2,1,1,4,0.759260699245593
"402",9,26,1,1,162,3,2,0,1,0.530802036592991
"403",9,37,1,1,163,3,1,1,2,0.872461765795082
"404",9,33,1,2,164,1,2,1,5,0.473328376009809
"405",9,38,1,1,165,2,2,0,3,0.711410048320572
"406",9,35,1,2,166,3,2,1,3,0.957297565051239
"407",9,35,1,2,167,3,1,0,1,1.04170529169336
"408",9,31,1,1,168,2,2,0,3,0.64000721333421
"409",9,28,1,1,169,2,1,1,3,0.717831108773983
"410",9,31,1,1,170,2,2,0,2,0.905626669670716
"411",9,34,1,1,171,1,2,0,4,0.452689274631852
"412",9,26,1,1,172,3,2,0,2,1.13564817423351
"413",9,37,1,1,173,3,1,1,3,0.985236252134981
"414",9,33,1,2,174,1,1,0,4,0.598462708474997
"415",9,38,1,1,175,3,2,0,2,1.02365142994281
"416",9,35,1,2,176,1,2,1,5,0.364325293841832
"417",9,35,1,2,177,2,1,0,3,0.634856605472275
"418",9,31,1,1,178,2,1,1,4,0.746062146821659
"419",9,28,1,2,179,2,2,1,4,0.494031593375859
"420",9,31,1,1,180,2,1,1,4,0.526895036094818
"421",9,34,1,1,181,3,1,1,2,0.816532790655948
"422",9,26,1,1,182,1,1,1,5,0.405919284377478
"423",9,37,1,1,183,2,1,1,4,0.399718441914483
"424",9,33,1,2,184,2,2,1,3,0.627242775750349
"425",9,38,1,2,185,3,1,0,1,0.50621102135294
"426",9,35,1,1,186,1,1,1,4,0.438763456217654
"427",9,35,1,2,187,1,2,1,5,0.428912580416428
"428",9,31,1,2,188,3,1,0,2,0.917888634064157
"429",9,28,1,1,189,1,1,1,4,0.421672764546982
"430",9,31,1,1,190,1,2,0,4,0.494584070861175
"431",9,34,1,2,191,3,2,1,3,0.760145358568128
"432",9,26,1,1,192,2,1,1,3,0.582259512898753
"433",9,37,1,1,193,3,1,1,2,0.722333176060388
"434",9,33,1,1,194,2,2,0,2,0.662260613392062
"435",9,38,1,1,195,1,1,1,4,0.317001467184311
"436",9,35,1,1,196,3,1,1,2,0.913572201930913
"437",9,35,1,1,197,3,1,1,3,0.490605292264037
"438",9,31,1,2,198,3,1,0,2,1.40863882415817
"439",9,28,1,1,199,2,1,1,4,0.682790758132305
"440",9,31,1,2,200,3,1,0,2,0.906702200212268
"441",9,34,1,2,201,1,2,1,4,0.301304395883226
"442",9,26,1,1,202,3,1,1,2,0.981540086638295
"443",9,37,1,2,203,1,2,1,4,0.365085579227053
"444",9,33,1,2,204,3,2,1,2,0.928101852720482
"445",9,38,1,1,205,1,1,1,5,0.43264667516846
"446",9,35,1,2,206,3,1,0,2,0.191600528174509
"447",9,35,1,2,207,2,1,0,3,0.650203026376951
"448",9,31,1,1,208,3,1,1,2,0.740728686758278
"449",9,28,1,2,209,2,2,1,4,0.355884437315666
"450",9,31,1,1,210,2,2,0,3,0.7111020443295
"451",9,34,1,2,211,1,1,0,3,0.576665678434572
"452",9,26,1,1,212,1,1,1,5,0.370821454908997
"453",9,37,1,2,213,1,2,1,5,0.46192634299622
"454",9,33,1,2,214,2,2,1,3,0.695603964089587
"455",9,38,1,2,215,3,2,1,2,0.704623246710269
"456",9,35,1,1,216,3,2,0,2,0.860594572943382
"457",9,35,1,1,217,2,2,0,2,0.792345594401236
"458",9,31,1,2,218,2,2,1,3,0.702267771377838
"459",9,28,1,1,219,3,1,1,3,0.83353596435711
"460",9,31,1,2,220,1,2,1,5,0.371596186782295
"461",9,34,1,1,221,2,1,1,4,0.521027671503374
"462",9,26,1,1,222,3,2,0,1,1.3225685491927
"463",9,37,1,1,223,2,2,0,3,0.529488130132584
"464",9,33,1,1,224,2,1,1,4,0.693647503058273
"465",9,38,1,2,225,2,2,1,4,0.709687007719907
"466",9,35,1,2,226,3,2,1,3,0.587262975798313
"467",9,35,1,1,227,2,1,1,4,0.485230522350918
"468",9,31,1,2,228,2,2,1,4,0.528916075876278
"469",9,28,1,1,229,1,1,1,5,0.383318192854738
"470",9,31,1,1,230,1,1,1,4,0.449742072146827
"471",9,34,1,1,231,1,1,1,5,0.397494530842126
"472",9,26,1,1,232,2,1,1,3,0.609873700377943
"473",9,37,1,2,233,3,1,0,1,0.881010126355324
"474",9,33,1,2,234,2,2,1,4,0.530919099809197
"475",9,38,1,2,235,3,1,0,1,1.2659872511281
"476",9,35,1,1,236,3,2,0,2,1.21972013823692
"477",9,35,1,2,237,2,1,0,3,0.560513937361963
"478",9,31,1,2,238,3,1,0,2,1.15439608708857
"479",9,28,1,2,239,2,2,1,3,0.672361965726496
"480",9,31,1,2,240,3,2,1,2,0.935790586754091
